old,new
 suvenir , souvenir 
 tokotoko , toko toko 
 nggak , tidak 
 gak , tidak 
 jlmalioboro , jalan malioboro 
 jln , jalan 
 jl , jalan 
 benarbenar , sangat 
 orangorang , orang orang 
 jalanjalan , jalan jalan 
 barangbarang , barang 
 tawarmenawar , tawar menawar 
 hatihati , hati hati 
 kadangkadang , kadang kadang 
 bringharjo , beringharjo 
 asyik , asik 
 malem , malam 
 manamana , mana mana 
 anakanak , anak anak 
 dgn , dengan 
 dr , dari 
 klo , kalau 
 sampe , sampai 
 tp , tapi 
 utk , untuk 
 tdk , tidak 
 bgt , banget 
 byk , banyak 
 jg , juga 
 org , orang 
 dg , dengan 
 gw , saya 
 pake , pakai 
 deket , dekat 
 bener , benar 
 kiper , penjaga gawang 
 engga , tidak 
 diinget , ingat 
 ngaloprin , lapor 
 moment , momen 
 gatau , tidak 
 good , bagus 
 udah , sudah 
 sbr , sabar 
 gelut , kelahi 
 berkelahi , kelahi 
 taun , tahun 
 thun , tahun 
 thn , tahun 
 inget , ingat 
 kasi , kasih 
 ksi , kasih 
 pakait , pakai 
 berubah , ubah 
 skrng , sekarang 
 mainnya , main 
 dolane , dolan 
 sekrng , sekarang 
 skolah , sekolah 
 pantes , pantes 
 adaa , ada 
 adaaa , ada 
 ad , ada 
 pdhal , padahal 
 pdhl , padahal 
 aturan , atur 
 polae , pola 
 penerimaan , terima 
 kebijakan , bijak 
 dieksekusi , eksekusi 
 doain , doa 
 system , sistem 
 perjulidan , julid 
 menerobos , robos 
 sad , sedih 
 bokap , bapak 
 gue , saya 
 akhirna , akhir 
 akhirnya , akhir 
